"","year","week-of-year","no-fox-families","no-cub-foxes","no-breeding-females","no-suboordinate-females","no-alpha-males","no-suboordinate-males","no-disperser-females","no-disperser-males","no-foxes","foxes.less1","foxes.1.2","foxes.2.3","foxes.3.4","foxes.4.5","foxes.5.6","foxes.6.7","foxes.more7"
"1",1,1,218,0,213,0,210,0,256,199,878,74,355,355,94,0,0,0,0
"2",1,5,218,0,207,0,211,0,241,178,837,43,337,348,109,0,0,0,0
"3",1,9,218,0,207,0,209,0,213,159,788,22,313,322,131,0,0,0,0
"4",1,13,217,1000,206,0,202,0,189,142,1739,1000,303,291,145,0,0,0,0
"5",1,17,217,949,210,0,203,0,175,116,1653,949,263,281,160,0,0,0,0
"6",1,21,218,892,210,0,201,0,157,98,1558,892,230,274,162,0,0,0,0
"7",1,25,218,0,207,413,206,415,148,81,1470,828,202,273,167,0,0,0,0
"8",1,29,218,0,208,395,208,387,133,71,1402,782,178,253,189,0,0,0,0
"9",1,33,218,0,206,371,202,364,119,63,1325,735,148,245,197,0,0,0,0
"10",1,37,218,0,211,313,214,271,141,131,1281,709,124,232,216,0,0,0,0
"11",1,41,218,0,208,270,208,201,161,185,1233,686,100,229,206,12,0,0,0
"12",1,45,218,0,201,229,211,140,168,215,1164,654,78,216,198,18,0,0,0
"13",1,49,218,0,212,189,209,101,173,228,1112,615,63,210,192,32,0,0,0
"14",2,1,216,0,205,162,204,72,177,238,1058,584,47,201,185,41,0,0,0
"15",2,5,218,0,205,140,210,49,164,224,992,544,28,187,187,46,0,0,0
"16",2,9,218,0,205,124,213,48,153,202,945,513,16,179,175,62,0,0,0
"17",2,13,218,926,206,111,209,46,140,188,1826,926,490,174,165,71,0,0,0
"18",2,17,218,877,208,103,207,41,122,173,1731,877,469,147,165,73,0,0,0
"19",2,21,218,822,208,97,209,39,113,157,1645,822,456,123,161,83,0,0,0
"20",2,25,218,0,210,469,206,440,101,147,1573,781,445,104,156,87,0,0,0
"21",2,29,218,0,201,445,206,416,85,131,1484,741,417,89,142,95,0,0,0
"22",2,33,218,0,209,412,215,388,68,116,1408,694,398,80,137,99,0,0,0
"23",2,37,218,0,207,349,203,294,90,187,1330,660,382,64,120,104,0,0,0
"24",2,41,219,0,212,298,203,205,107,233,1258,628,359,55,110,100,6,0,0
"25",2,45,219,0,203,250,211,145,124,240,1173,578,340,38,107,101,9,0,0
"26",2,49,219,0,212,203,209,104,126,251,1105,536,325,30,100,97,17,0,0
"27",3,1,219,0,209,175,213,76,130,250,1053,510,311,18,102,90,22,0,0
"28",3,5,219,0,210,149,204,55,130,250,998,488,291,12,93,92,22,0,0
"29",3,9,219,0,206,138,204,50,120,230,948,467,277,5,83,86,30,0,0
"30",3,13,219,971,209,125,210,45,114,212,1886,971,455,267,77,83,33,0,0
"31",3,17,217,900,207,109,209,42,103,196,1766,900,427,255,64,85,35,0,0
"32",3,21,217,843,210,99,204,38,93,177,1664,843,399,247,54,81,40,0,0
"33",3,25,219,0,213,459,213,465,84,164,1598,799,385,243,47,81,43,0,0
"34",3,29,219,0,204,431,205,438,74,151,1503,750,361,233,43,72,44,0,0
"35",3,33,219,0,210,396,208,409,63,129,1415,701,339,225,36,66,48,0,0
"36",3,37,219,0,206,339,209,315,82,174,1325,650,318,215,31,56,55,0,0
"37",3,41,219,0,209,288,207,234,101,227,1266,624,301,205,27,52,56,1,0
"38",3,45,219,0,208,239,210,172,115,258,1202,588,290,196,21,47,59,1,0
"39",3,49,219,0,212,200,209,123,129,276,1149,554,281,188,18,46,58,4,0
