"","year","week-of-year","no-fox-families","no-cub-foxes","no-breeding-females","no-suboordinate-females","no-alpha-males","no-suboordinate-males","no-disperser-females","no-disperser-males","no-foxes","foxes.less1","foxes.1.2","foxes.2.3","foxes.3.4","foxes.4.5","foxes.5.6","foxes.6.7","foxes.more7"
"1",1,1,215,0,204,0,202,0,242,220,868,75,365,333,95,0,0,0,0
"2",1,5,215,0,209,0,208,0,217,200,834,46,352,329,107,0,0,0,0
"3",1,9,215,0,204,0,205,0,205,185,799,20,326,332,121,0,0,0,0
"4",1,13,214,968,201,0,200,0,187,167,1723,968,294,326,135,0,0,0,0
"5",1,17,215,912,201,0,203,0,165,143,1624,912,262,305,145,0,0,0,0
"6",1,21,214,864,202,0,201,0,148,124,1539,864,224,287,164,0,0,0,0
"7",1,25,215,0,206,392,208,429,133,105,1473,821,197,270,185,0,0,0,0
"8",1,29,215,0,205,372,196,406,121,87,1387,778,159,258,192,0,0,0,0
"9",1,33,215,0,205,348,205,376,109,63,1306,724,132,247,203,0,0,0,0
"10",1,37,215,0,203,290,204,282,135,136,1250,696,105,246,203,0,0,0,0
"11",1,41,215,0,205,243,199,199,154,174,1174,649,80,233,209,3,0,0,0
"12",1,45,214,0,207,212,204,132,154,197,1106,606,63,223,195,19,0,0,0
"13",1,49,215,0,210,184,211,100,154,215,1074,591,48,211,185,39,0,0,0
"14",2,1,215,0,201,163,206,73,155,217,1015,557,38,193,179,48,0,0,0
"15",2,5,215,0,206,135,205,49,150,210,955,517,23,183,177,55,0,0,0
"16",2,9,215,0,201,128,198,44,135,192,898,485,10,160,182,61,0,0,0
"17",2,13,214,936,201,119,205,40,118,175,1794,936,467,146,172,73,0,0,0
"18",2,17,215,888,208,109,204,34,107,164,1714,888,448,139,154,85,0,0,0
"19",2,21,214,837,198,99,201,34,98,148,1615,837,428,125,140,85,0,0,0
"20",2,25,214,0,201,455,203,455,93,130,1537,791,408,108,135,95,0,0,0
"21",2,29,214,0,201,422,208,431,81,115,1458,740,390,96,134,98,0,0,0
"22",2,33,214,0,201,406,202,411,67,105,1392,713,372,77,129,101,0,0,0
"23",2,37,214,0,201,352,203,302,90,175,1323,681,356,58,130,98,0,0,0
"24",2,41,214,0,204,289,206,225,119,219,1262,656,334,47,128,96,1,0,0
"25",2,45,214,0,205,231,206,163,139,255,1199,614,325,38,124,89,9,0,0
"26",2,49,214,0,199,198,206,116,149,266,1134,579,308,26,119,85,17,0,0
"27",3,1,214,0,204,161,201,86,146,265,1063,543,291,20,104,82,23,0,0
"28",3,5,215,0,203,131,208,61,150,255,1008,510,279,13,97,82,27,0,0
"29",3,9,215,0,212,123,203,53,133,234,958,479,270,7,85,87,30,0,0
"30",3,13,215,985,201,118,207,50,126,216,1903,985,463,255,82,78,40,0,0
"31",3,17,215,938,201,108,208,48,108,199,1810,938,437,243,74,71,47,0,0
"32",3,21,215,884,205,96,210,43,94,187,1719,884,416,234,65,74,46,0,0
"33",3,25,215,0,206,501,205,454,80,172,1618,826,391,225,55,71,50,0,0
"34",3,29,215,0,207,478,202,435,68,153,1543,791,378,209,47,67,51,0,0
"35",3,33,215,0,205,450,205,413,62,139,1474,753,360,203,40,62,56,0,0
"36",3,37,215,0,202,402,203,302,86,223,1418,732,343,198,29,62,54,0,0
"37",3,41,215,0,207,338,205,220,107,264,1341,683,331,191,22,59,55,0,0
"38",3,45,215,0,199,293,204,163,124,285,1268,647,314,182,17,52,50,6,0
"39",3,49,216,0,203,245,206,122,136,296,1208,618,300,170,9,51,49,11,0
"40",4,1,216,0,206,210,211,95,140,296,1158,592,294,164,5,48,43,12,0
"41",4,5,216,0,205,183,200,65,143,286,1082,545,276,160,2,44,39,16,0
"42",4,9,216,0,208,168,204,58,129,263,1030,520,259,155,1,40,40,15,0
"43",4,13,216,884,203,153,204,53,123,247,1867,884,489,252,148,36,38,20,0
"44",4,17,215,850,207,140,209,47,105,227,1785,850,460,242,143,34,34,22,0
"45",4,21,215,802,204,126,205,41,97,214,1689,802,438,229,135,30,33,22,0
"46",4,25,215,0,206,496,201,406,83,197,1589,748,421,213,128,25,31,23,0
"47",4,29,215,0,207,461,200,379,71,177,1495,697,400,200,120,22,33,23,0
"48",4,33,215,0,204,437,206,354,61,158,1420,656,392,191,109,17,30,25,0
"49",4,37,215,0,206,361,204,255,91,207,1324,606,366,181,102,14,29,26,0
"50",4,41,215,0,201,311,203,202,114,238,1269,581,355,170,99,12,28,24,0
"51",4,45,215,0,201,254,202,145,130,266,1198,547,334,163,93,8,30,21,2
"52",4,49,215,0,202,212,208,99,137,275,1133,516,315,151,91,5,30,21,4
"53",5,1,214,0,196,184,197,64,139,288,1068,500,286,139,85,3,32,19,4
"54",5,5,215,0,202,151,206,51,137,276,1023,479,275,134,82,1,29,17,6
"55",5,9,214,0,197,135,201,47,118,262,960,451,261,124,73,0,27,18,6
"56",5,13,213,1002,202,126,202,41,103,244,1920,1002,438,245,119,66,24,18,8
"57",5,17,214,953,203,121,206,38,92,222,1835,953,421,236,114,63,22,17,9
"58",5,21,214,895,204,113,206,36,86,204,1744,895,408,230,109,59,18,15,10
"59",5,25,214,0,205,516,207,443,80,194,1645,824,396,223,106,54,16,16,10
"60",5,29,214,0,203,482,198,427,73,181,1564,783,380,211,102,51,13,16,8
"61",5,33,214,0,202,452,195,394,60,163,1466,734,360,192,98,46,10,17,9
"62",5,37,214,0,204,389,201,272,78,229,1373,676,347,179,93,43,9,17,9
"63",5,41,214,0,202,326,204,203,102,277,1314,654,324,172,88,43,9,16,8
"64",5,45,214,0,203,278,202,135,121,305,1244,617,307,165,84,38,6,19,8
"65",5,49,214,0,199,238,202,94,124,311,1168,584,288,150,81,32,4,20,9
"66",6,1,213,0,204,195,204,70,135,302,1110,550,276,142,80,31,2,21,8
"67",6,5,214,0,198,166,207,51,141,300,1063,533,263,131,77,29,0,22,8
"68",6,9,214,0,200,151,201,47,128,275,1002,500,252,124,71,26,0,19,10
"69",6,13,214,932,202,143,201,40,115,256,1889,932,481,240,117,67,24,17,11
"70",6,17,214,888,208,134,207,35,105,233,1810,888,464,230,111,66,24,14,13
"71",6,21,214,831,198,125,203,33,102,218,1710,831,442,220,108,60,22,12,15
"72",6,25,214,0,208,507,201,433,88,196,1633,791,426,210,101,58,21,9,17
"73",6,29,214,0,199,475,204,413,79,175,1545,750,406,199,93,53,21,7,16
"74",6,33,214,0,207,442,200,388,68,156,1461,704,392,183,87,51,21,5,18
"75",6,37,214,0,206,378,203,272,101,230,1390,665,379,174,83,48,20,5,16
"76",6,41,214,0,204,322,200,186,129,272,1313,630,355,166,77,48,20,5,12
"77",6,45,214,0,205,275,206,130,152,297,1265,612,336,160,72,48,20,4,13
"78",6,49,214,0,206,240,204,95,161,308,1214,587,325,152,69,46,19,2,14
"79",7,1,214,0,208,204,198,69,169,304,1152,555,308,145,68,45,16,0,15
"80",7,5,214,0,205,172,204,49,181,287,1098,529,297,139,64,40,16,0,13
"81",7,9,214,0,207,161,196,46,168,266,1044,512,277,130,62,39,14,0,10
"82",7,13,214,935,205,154,198,41,162,239,1934,935,488,269,124,60,36,13,9
"83",7,17,214,892,200,137,201,40,152,214,1836,892,461,255,116,58,33,12,9
"84",7,21,214,844,209,122,207,37,142,193,1754,844,444,249,107,57,33,11,9
"85",7,25,214,0,197,510,205,432,134,179,1657,796,422,237,100,54,29,10,9
"86",7,29,214,0,207,476,198,405,109,164,1559,748,395,223,95,51,29,10,8
"87",7,33,214,0,205,446,205,387,98,142,1483,714,369,214,92,48,28,10,8
"88",7,37,214,0,203,384,204,286,134,203,1414,675,360,202,88,46,27,10,6
"89",7,41,214,0,203,336,201,201,163,252,1356,658,338,193,85,41,25,10,6
"90",7,45,214,0,201,282,208,140,179,269,1279,620,320,181,79,39,24,10,6
"91",7,49,214,0,204,241,207,97,191,278,1218,588,304,174,75,39,22,10,6
"92",8,1,214,0,200,203,203,67,198,270,1141,546,288,165,72,36,18,10,6
"93",8,5,214,0,205,168,206,51,193,257,1080,515,271,157,71,36,16,10,4
"94",8,9,214,0,204,157,205,48,181,235,1030,491,257,153,68,34,15,10,2
"95",8,13,214,959,204,149,203,44,163,217,1939,959,471,241,144,66,33,14,11
"96",8,17,213,905,201,131,203,40,151,201,1832,905,448,230,136,59,30,13,11
"97",8,21,213,844,207,118,199,38,142,188,1736,844,433,217,133,57,29,12,11
"98",8,25,213,0,201,500,206,445,134,171,1657,802,419,204,126,55,28,12,11
"99",8,29,213,0,207,467,205,424,121,159,1583,764,395,199,123,52,27,12,11
"100",8,33,213,0,201,437,205,400,110,144,1497,714,378,193,116,49,27,10,10
