"","i.output","year"
"1","212 (207, 219)","no.fox.families"
"2","942 (852, 1011)","no.cub.foxes"
"3","202 (193, 213)","no.breeding.females"
"4","143 (116, 171)","no.suboordinate.females"
"5","202 (191, 208)","no.alpha.males"
"6","49 (35, 60)","no.suboordinate.males"
"7","136 (101, 159)","no.disperser.females"
"8","234 (178, 276)","no.disperser.males"
"9","1907 (1829, 1996)","no.foxes"
