"","year","week-of-year","no-fox-families","no-cub-foxes","no-breeding-females","no-suboordinate-females","no-alpha-males","no-suboordinate-males","no-disperser-females","no-disperser-males","no-foxes","foxes.less1","foxes.1.2","foxes.2.3","foxes.3.4","foxes.4.5","foxes.5.6","foxes.6.7","foxes.more7"
"1",1,1,221,0,211,0,211,0,255,250,927,82,356,378,111,0,0,0,0
"2",1,5,221,0,209,0,211,0,230,230,880,52,345,351,132,0,0,0,0
"3",1,9,221,0,213,0,214,0,202,208,837,22,330,327,158,0,0,0,0
"4",1,13,221,1015,215,0,211,0,183,185,1809,1015,315,305,174,0,0,0,0
"5",1,17,220,942,208,0,214,0,161,165,1690,942,272,295,181,0,0,0,0
"6",1,21,221,888,208,0,211,0,138,147,1592,888,238,271,195,0,0,0,0
"7",1,25,221,0,205,413,210,427,120,133,1508,840,201,258,209,0,0,0,0
"8",1,29,221,0,206,394,212,398,99,118,1427,792,177,231,227,0,0,0,0
"9",1,33,221,0,207,369,211,375,80,105,1347,744,152,223,228,0,0,0,0
"10",1,37,221,0,201,300,209,233,99,153,1195,628,128,211,228,0,0,0,0
"11",1,41,221,0,216,254,213,169,107,190,1149,602,111,206,225,5,0,0,0
"12",1,45,221,0,214,217,209,123,118,205,1086,566,87,201,213,19,0,0,0
"13",1,49,221,0,213,195,211,89,123,203,1034,535,59,205,189,46,0,0,0
"14",2,1,221,0,215,163,210,66,117,209,980,502,45,187,181,65,0,0,0
"15",2,5,221,0,212,136,207,47,118,196,916,466,32,177,163,78,0,0,0
"16",2,9,220,0,211,122,213,38,106,179,869,440,15,168,157,89,0,0,0
"17",2,13,220,989,214,110,209,33,97,159,1811,989,411,165,144,102,0,0,0
"18",2,17,221,938,210,100,210,32,85,142,1717,938,394,139,144,102,0,0,0
"19",2,21,220,890,206,95,213,28,71,123,1626,890,373,119,138,106,0,0,0
"20",2,25,221,0,203,513,213,438,64,110,1541,843,356,104,125,113,0,0,0
"21",2,29,221,0,205,477,211,411,56,98,1458,794,338,86,117,123,0,0,0
"22",2,33,221,0,207,444,212,388,43,87,1381,746,326,77,108,124,0,0,0
"23",2,37,221,0,206,343,210,230,66,145,1200,603,304,63,104,126,0,0,0
"24",2,41,221,0,215,296,211,163,90,190,1165,593,289,53,103,124,3,0,0
"25",2,45,221,0,213,254,213,125,104,205,1114,562,282,44,103,112,11,0,0
"26",2,49,221,0,211,223,206,84,116,220,1060,531,271,28,106,98,26,0,0
"27",3,1,220,0,212,186,211,60,117,220,1006,502,259,19,97,94,35,0,0
"28",3,5,221,0,209,164,207,45,118,214,957,479,248,15,86,82,47,0,0
"29",3,9,221,0,215,142,211,39,110,189,906,451,241,7,82,73,52,0,0
"30",3,13,221,1033,209,133,210,37,104,170,1896,1033,427,231,80,70,55,0,0
"31",3,17,221,989,213,119,207,34,96,153,1811,989,408,219,69,71,55,0,0
"32",3,21,219,931,204,112,210,31,90,136,1714,931,391,208,56,74,54,0,0
"33",3,25,221,0,216,551,211,464,75,120,1637,889,373,199,52,70,54,0,0
"34",3,29,221,0,210,530,205,444,68,107,1564,854,356,187,46,59,62,0,0
"35",3,33,221,0,213,502,211,420,61,96,1503,813,345,182,42,57,64,0,0
"36",3,37,221,0,202,410,206,251,79,155,1303,663,316,176,31,55,62,0,0
"37",3,41,219,0,208,353,206,180,86,189,1222,620,300,167,24,50,60,1,0
"38",3,45,221,0,211,303,206,130,106,198,1154,585,281,164,17,49,52,6,0
"39",3,49,221,0,212,254,211,94,124,209,1104,561,271,154,12,47,45,14,0
"40",4,1,221,0,203,219,214,66,124,203,1029,523,250,147,8,40,40,21,0
"41",4,5,221,0,213,182,209,45,128,191,968,485,239,138,7,37,37,25,0
"42",4,9,221,0,213,162,208,41,124,170,918,456,226,134,3,37,34,28,0
"43",4,13,220,967,210,150,214,36,119,154,1850,967,435,218,129,33,36,32,0
"44",4,17,221,920,203,136,213,33,109,139,1753,920,414,204,124,25,35,31,0
"45",4,21,221,875,211,122,207,30,98,120,1663,875,388,191,120,23,34,32,0
"46",4,25,221,0,211,525,209,441,86,103,1575,826,370,178,114,23,30,34,0
"47",4,29,221,0,214,495,208,425,76,85,1503,788,350,171,109,21,26,38,0
"48",4,33,221,0,211,462,209,402,73,71,1428,745,329,166,106,20,22,40,0
"49",4,37,221,0,210,388,208,249,89,134,1278,633,312,156,99,16,23,39,0
"50",4,41,221,0,211,332,211,179,106,159,1198,583,293,149,96,15,24,38,0
"51",4,45,221,0,213,280,207,119,126,188,1133,549,283,139,90,10,25,35,2
"52",4,49,221,0,214,228,211,83,136,192,1064,508,270,132,84,6,25,31,8
"53",5,1,221,0,209,194,212,64,142,191,1012,486,256,122,80,4,26,29,9
"54",5,5,221,0,209,164,209,50,149,187,968,465,247,115,77,4,22,26,12
"55",5,9,221,0,214,153,212,44,138,171,932,451,237,107,75,2,21,23,16
"56",5,13,220,1005,203,140,211,39,127,157,1882,1005,429,223,97,72,18,18,20
"57",5,17,221,951,208,126,220,36,116,144,1801,951,415,216,96,71,14,18,20
"58",5,21,221,887,212,114,210,34,109,137,1703,887,397,212,91,68,12,16,20
"59",5,25,221,0,209,549,211,431,101,124,1625,842,388,197,88,67,10,13,20
"60",5,29,221,0,201,516,214,404,87,112,1534,791,370,183,84,66,9,9,22
"61",5,33,221,0,204,480,209,378,72,97,1440,746,346,170,76,62,9,8,23
"62",5,37,221,0,197,379,211,225,101,155,1268,626,319,160,71,55,6,8,23
"63",5,41,221,0,211,311,213,171,119,185,1210,595,305,154,67,53,5,9,22
"64",5,45,221,0,214,257,209,121,140,212,1153,571,281,150,66,51,3,10,21
"65",5,49,221,0,208,230,212,85,138,216,1089,537,270,141,66,46,3,7,19
"66",6,1,221,0,209,182,214,58,147,217,1027,495,262,135,62,45,2,8,18
"67",6,5,221,0,212,155,213,42,149,209,980,466,253,130,59,44,2,7,19
"68",6,9,221,0,211,146,203,40,138,194,932,444,243,123,52,43,0,9,18
"69",6,13,220,950,211,135,207,39,131,175,1848,950,432,235,118,49,40,8,16
"70",6,17,221,900,209,130,205,36,116,153,1749,900,406,221,112,47,40,7,16
"71",6,21,221,840,204,122,205,32,101,134,1638,840,383,214,101,43,36,5,16
"72",6,25,221,0,213,518,202,423,87,112,1555,801,359,202,97,41,36,5,14
"73",6,29,221,0,212,481,206,396,75,97,1467,747,351,191,89,39,33,4,13
"74",6,33,221,0,209,453,206,375,70,75,1388,712,330,181,83,37,28,4,13
"75",6,37,221,0,203,375,213,222,91,126,1230,599,304,172,79,34,28,2,12
"76",6,41,220,0,208,304,210,157,111,173,1163,575,277,163,74,32,28,2,12
"77",6,45,222,0,212,256,215,111,123,192,1109,547,261,159,71,31,27,1,12
"78",6,49,222,0,209,217,209,78,133,206,1052,518,246,150,68,31,26,1,12
"79",7,1,221,0,216,179,202,58,138,195,988,481,234,143,64,30,23,1,12
"80",7,5,220,0,207,154,212,42,151,178,944,460,223,134,64,30,22,0,11
"81",7,9,222,0,211,139,211,35,139,159,894,434,215,123,63,28,20,0,11
"82",7,13,222,1014,213,123,213,34,124,142,1863,1014,414,201,120,57,26,20,11
"83",7,17,222,969,212,111,212,31,114,129,1778,969,391,195,112,54,26,20,11
"84",7,21,221,910,207,100,213,29,106,114,1679,910,372,184,108,52,24,18,11
"85",7,25,222,0,212,524,212,447,93,101,1589,856,356,174,102,49,23,18,11
"86",7,29,222,0,210,496,209,417,83,87,1502,805,340,164,95,48,23,17,10
"87",7,33,222,0,209,460,210,388,75,75,1417,745,328,158,91,47,22,16,10
"88",7,37,222,0,204,369,210,230,102,134,1249,628,298,146,86,44,22,15,10
"89",7,41,222,0,208,309,207,156,128,178,1186,598,283,138,81,42,21,15,8
"90",7,45,222,0,210,260,210,102,143,202,1127,567,268,132,78,41,19,14,8
"91",7,49,222,0,214,226,213,66,151,207,1077,537,261,130,73,36,19,14,7
"92",8,1,222,0,213,195,214,43,154,211,1030,511,250,124,72,35,18,13,7
"93",8,5,222,0,209,162,209,32,147,203,962,473,228,121,71,34,15,13,7
"94",8,9,222,0,209,144,212,27,136,179,907,448,210,115,68,32,14,13,7
"95",8,13,220,958,211,131,209,25,127,169,1830,958,432,204,111,64,29,14,18
"96",8,17,220,906,211,123,209,23,120,146,1738,906,416,195,105,60,25,13,18
"97",8,21,221,862,214,114,209,22,111,132,1664,862,400,187,103,59,24,11,18
"98",8,25,221,0,206,519,217,425,100,117,1584,817,386,178,95,58,24,10,16
"99",8,29,221,0,210,481,209,398,89,106,1493,763,369,171,90,54,22,9,15
"100",8,33,221,0,209,458,207,385,77,93,1429,734,360,162,83,48,20,7,15
"101",8,37,221,0,202,366,200,234,109,146,1257,608,332,154,77,45,20,7,14
"102",8,41,221,0,208,316,207,167,115,168,1181,579,305,146,71,41,19,6,14
"103",8,45,221,0,215,261,214,114,139,182,1125,549,294,136,69,40,18,6,13
"104",8,49,221,0,212,236,208,85,142,194,1077,527,283,124,67,40,18,5,13
"105",9,1,221,0,209,200,210,61,147,186,1013,495,264,118,64,38,18,3,13
"106",9,5,221,0,208,170,209,42,155,180,964,464,255,113,62,37,17,3,13
"107",9,9,221,0,207,155,213,37,144,160,916,437,243,110,58,36,16,3,13
"108",9,13,220,926,212,144,212,33,133,149,1809,926,426,229,107,54,35,16,16
"109",9,17,219,858,208,135,212,27,126,138,1704,858,410,216,101,52,35,16,16
"110",9,21,220,796,206,126,211,25,112,123,1599,796,389,209,98,46,34,13,14
"111",9,25,220,0,212,499,205,396,98,107,1517,760,361,202,92,43,32,13,14
"112",9,29,220,0,207,473,210,377,93,89,1449,725,346,189,90,42,32,12,13
"113",9,33,220,0,204,439,207,355,84,78,1367,679,332,179,84,38,31,11,13
"114",9,37,220,0,197,346,208,207,110,137,1205,562,312,164,78,35,30,11,13
"115",9,41,220,0,208,291,212,159,122,157,1149,528,298,159,76,35,29,11,13
"116",9,45,220,0,208,251,213,115,123,175,1085,496,282,150,72,34,28,10,13
"117",9,49,220,0,207,210,207,94,135,180,1033,477,269,144,65,33,26,9,10
"118",10,1,220,0,210,179,215,65,134,177,980,449,254,137,63,32,26,9,10
"119",10,5,220,0,208,152,206,49,136,180,931,435,236,127,58,31,25,9,10
"120",10,9,220,0,204,139,205,44,117,162,871,408,224,116,55,27,25,7,9
"121",10,13,220,953,212,128,206,42,104,140,1785,953,397,208,110,50,27,25,15
"122",10,17,219,896,209,117,207,39,95,125,1688,896,377,199,104,46,27,24,15
"123",10,21,219,831,203,108,201,33,82,108,1566,831,359,179,96,44,23,23,11
"124",10,25,220,0,207,506,211,395,71,92,1482,777,346,171,93,41,23,21,10
"125",10,29,220,0,208,485,206,376,58,82,1415,741,337,159,86,40,22,21,9
"126",10,33,220,0,208,459,212,353,49,69,1350,703,322,155,81,38,21,21,9
