"","year","week-of-year","no-fox-families","no-cub-foxes","no-breeding-females","no-suboordinate-females","no-alpha-males","no-suboordinate-males","no-disperser-females","no-disperser-males","no-foxes","foxes.less1","foxes.1.2","foxes.2.3","foxes.3.4","foxes.4.5","foxes.5.6","foxes.6.7","foxes.more7"
"1",1,1,221,0,214,0,211,0,242,235,902,76,395,333,98,0,0,0,0
"2",1,5,221,0,213,0,208,0,223,212,856,51,374,316,115,0,0,0,0
"3",1,9,221,0,211,0,212,0,201,188,812,24,349,312,127,0,0,0,0
"4",1,13,221,983,212,0,213,0,182,169,1759,983,333,298,145,0,0,0,0
"5",1,17,221,931,205,0,204,0,165,150,1655,931,279,285,160,0,0,0,0
"6",1,21,220,872,209,0,212,0,142,132,1567,872,237,282,176,0,0,0,0
"7",1,25,221,0,212,408,212,415,121,121,1489,823,213,269,184,0,0,0,0
"8",1,29,221,0,209,383,212,395,111,110,1420,778,173,266,203,0,0,0,0
"9",1,33,221,0,209,364,210,374,98,95,1350,738,145,253,214,0,0,0,0
"10",1,37,221,0,214,302,209,266,110,163,1264,683,112,253,216,0,0,0,0
"11",1,41,221,0,212,253,210,182,136,202,1195,642,97,238,211,7,0,0,0
"12",1,45,221,0,203,217,212,135,142,217,1126,607,68,233,200,18,0,0,0
"13",1,49,221,0,210,173,207,94,146,232,1062,568,58,212,195,29,0,0,0
"14",2,1,221,0,209,146,213,66,152,232,1018,544,37,211,186,40,0,0,0
"15",2,5,221,0,208,125,213,47,144,222,959,506,23,206,175,49,0,0,0
"16",2,9,221,0,210,116,206,42,129,204,907,480,13,185,168,61,0,0,0
"17",2,13,220,943,210,105,214,38,116,187,1813,943,458,177,161,74,0,0,0
"18",2,17,221,884,210,99,207,37,104,174,1715,884,440,154,158,79,0,0,0
"19",2,21,221,831,213,92,216,32,95,148,1627,831,421,135,154,86,0,0,0
"20",2,25,221,0,207,471,210,430,83,134,1535,785,393,121,150,86,0,0,0
"21",2,29,221,0,210,450,213,405,70,119,1467,750,373,102,153,89,0,0,0
"22",2,33,221,0,212,430,213,377,63,112,1407,710,362,87,152,96,0,0,0
"23",2,37,221,0,212,364,208,285,91,170,1330,668,340,71,151,100,0,0,0
"24",2,41,221,0,209,300,214,206,112,205,1246,616,324,59,137,106,4,0,0
"25",2,45,220,0,215,252,210,141,128,238,1184,575,311,45,139,100,14,0,0
"26",2,49,221,0,208,220,207,97,131,250,1113,543,286,37,127,102,18,0,0
"27",3,1,221,0,212,186,205,68,134,246,1051,516,265,24,128,95,23,0,0
"28",3,5,219,0,206,159,213,43,139,239,999,491,249,15,121,95,28,0,0
"29",3,9,221,0,204,143,212,42,128,217,946,468,240,9,103,91,35,0,0
"30",3,13,221,989,213,127,208,40,114,189,1880,989,439,224,102,86,40,0,0
"31",3,17,221,928,208,116,207,36,106,172,1773,928,420,211,85,86,43,0,0
"32",3,21,221,869,208,104,205,32,91,151,1660,869,393,201,71,79,47,0,0
"33",3,25,221,0,212,525,206,426,84,130,1583,827,375,191,63,77,50,0,0
"34",3,29,221,0,211,491,214,396,74,113,1499,775,355,185,53,77,54,0,0
"35",3,33,221,0,214,456,211,372,63,102,1418,728,340,175,44,73,58,0,0
"36",3,37,221,0,211,394,213,262,96,172,1348,695,318,167,38,71,59,0,0
"37",3,41,221,0,210,329,209,190,123,204,1265,647,300,156,31,66,61,4,0
