Parameter,Value
`working-directory`,Location of your FoxNet folder
`cell-dimension (m)`,100
`landscape-source`,import raster
`landscape-raster (.asc)`,gis_layers/glenelg/mtclay_landscape.asc
`uninhabitable-raster-value `,2
`second-habitat-raster-value`,0
`hab2:hab1`,1.00 x
`initial-fox-density (per km2)`,0
`bait-layout`,none
