Home range size,family.density,Model density,HR.ha
0.45,1.82,,45
1.65,1.03,,45
0.45,1.08,,57
0.7,1.3,,70
4,0.5,,102
1.33,0.25,,120
4.73,0.29,,133
0.57,1,,165
1.2,0.7,,255
2.55,0.4,,390
9.28,0.1,,400
4.1,0.4,,410
6.1,0.15,,473
6,0.03,,598
7,0.55,,600
1.02,1.13,,610
7,0.22,,700
9.6,0.15,,700
5.98,0.09,,900
3.9,0.1,,928
9,0.13,,960
