"","year","week","family.density","HRsize"
"1",1,1,0.872448979591837,1
"2",1,5,0.872448979591837,1
"3",1,9,0.86734693877551,1
"4",1,13,0.86734693877551,1
"5",1,17,0.857142857142857,1
"6",1,21,0.86734693877551,1
"7",1,25,0.86734693877551,1
"8",1,29,0.86734693877551,1
"9",1,33,0.86734693877551,1
"10",1,37,0.86734693877551,1
"11",1,41,0.86734693877551,1
"12",1,45,0.86734693877551,1
"13",1,49,0.86734693877551,1
"14",2,1,0.86734693877551,1
"15",2,5,0.857142857142857,1
"16",2,9,0.862244897959184,1
"17",2,13,0.862244897959184,1
"18",2,17,0.862244897959184,1
"19",2,21,0.862244897959184,1
"20",2,25,0.862244897959184,1
"21",2,29,0.862244897959184,1
"22",2,33,0.862244897959184,1
"23",2,37,0.862244897959184,1
"24",2,41,0.862244897959184,1
"25",2,45,0.862244897959184,1
"26",2,49,0.862244897959184,1
"27",3,1,0.862244897959184,1
"28",3,5,0.862244897959184,1
"29",3,9,0.857142857142857,1
"30",3,13,0.862244897959184,1
"31",3,17,0.862244897959184,1
"32",3,21,0.862244897959184,1
"33",3,25,0.862244897959184,1
"34",3,29,0.862244897959184,1
"35",3,33,0.862244897959184,1
"36",3,37,0.862244897959184,1
"37",3,41,0.862244897959184,1
"38",3,45,0.862244897959184,1
"39",3,49,0.862244897959184,1
"40",4,1,0.862244897959184,1
"41",4,5,0.862244897959184,1
"42",4,9,0.862244897959184,1
"43",4,13,0.857142857142857,1
"44",4,17,0.862244897959184,1
"45",4,21,0.862244897959184,1
"46",4,25,0.862244897959184,1
"47",4,29,0.862244897959184,1
"48",4,33,0.862244897959184,1
"49",4,37,0.862244897959184,1
"50",4,41,0.862244897959184,1
"51",4,45,0.862244897959184,1
"52",4,49,0.862244897959184,1
"53",5,1,0.857142857142857,1
"54",5,5,0.862244897959184,1
"55",5,9,0.862244897959184,1
"56",5,13,0.862244897959184,1
"57",5,17,0.857142857142857,1
"58",5,21,0.857142857142857,1
"59",5,25,0.857142857142857,1
"60",5,29,0.857142857142857,1
"61",5,33,0.857142857142857,1
"62",5,37,0.857142857142857,1
"63",5,41,0.852040816326531,1
"64",5,45,0.857142857142857,1
"65",5,49,0.857142857142857,1
